Fecha,Dosis,Por100
2020-12-15,50000,0.00357142857142857
2020-12-16,52433,0.00374521428571429
2020-12-17,60800,0.00434285714285714
2020-12-18,77059,0.00550421428571429
2020-12-19,102688,0.00733485714285714
2020-12-20,139488,0.00996342857142857
2020-12-21,189177,0.0135126428571429
2020-12-22,253473,0.0181052142857143
2020-12-23,334096,0.023864
2020-12-24,432765,0.0309117857142857
2020-12-25,551199,0.0393713571428571
2020-12-26,691116,0.0493654285714286
2020-12-27,854236,0.0610168571428571
2020-12-28,1042277,0.0744483571428571
2020-12-29,1256958,0.0897827142857143
2020-12-30,1500000,0.107142857142857
2020-12-31,4500000,0.321428571428571
2021-01-01,4600000,0.328571428571429
2021-01-02,5459349,0.3899535
2021-01-03,6238443,0.445603071428571
2021-01-04,6865316,0.490379714285714
2021-01-05,7368007,0.526286214285714
2021-01-06,7774551,0.555325071428571
2021-01-07,8100000,0.578571428571429
2021-01-08,8400000,0.6
2021-01-09,9000000,0.642857142857143
2021-01-10,9210000,0.657857142857143
2021-01-11,9480000,0.677142857142857
2021-01-12,9700000,0.692857142857143
2021-01-13,10000000,0.714285714285714
2021-01-14,10431246,0.745089
2021-01-15,10998601.9971446,0.785614428367473
2021-01-16,11677009,0.834072071428571
2021-01-17,12441411,0.888672214285714
2021-01-18,13266748,0.947624857142857
2021-01-19,14127964,1.00914028571429
2021-01-20,15000000,1.07142857142857
2021-01-21,16012569,1.14375492857143
2021-01-22,17230000,1.23071428571429
2021-01-23,18571196,1.326514
2021-01-24,19899000,1.42135714285714
2021-01-25,21110000,1.50785714285714
2021-01-26,22106030,1.57900214285714
2021-01-27,22767000,1.62621428571429
2021-01-28,23110000,1.65071428571429
2021-01-29,23480000,1.67714285714286
2021-01-30,23480000,1.67714285714286
2021-01-31,24000000,1.71428571428571
2021-02-01,25970000,1.855
2021-02-02,26324000,1.88028571428571
2021-02-03,31200000,2.22857142857143
2021-02-04,33094344,2.36388171428571
2021-02-05,34895659,2.49254707142857
2021-02-06,36570412,2.61217228571429
2021-02-07,38085074,2.72036242857143
2021-02-08,39406113,2.81472235714286
2021-02-09,40500000,2.89285714285714
2021-02-10,41428994,2.95921385714286
2021-02-11,42282696.2770731,3.02019259121951
2021-02-12,43068581.0624676,3.07632721874769
2021-02-13,43794124.8607149,3.12815177576535
2021-02-14,44466803.6080256,3.17620025771612
2021-02-15,45094093.2406105,3.22100666004361
2021-02-16,45683469.69468,3.26310497819143
2021-02-17,46242408.906445,3.30302920760322
2021-02-18,46778386.812116,3.34131334372257
2021-02-19,47298879.3479037,3.37849138199312
2021-02-20,47811362.4500187,3.41509731785848
2021-02-21,48323312.0546717,3.45166514676226
2021-02-22,48842204.0980733,3.48872886414809
2021-02-23,49375514.5164342,3.52682246545958
2021-02-24,49930719.2459649,3.56647994614035
2021-02-25,50515294.2228763,3.60823530163402
2021-02-26,51136715.3833788,3.6526225273842
2021-02-27,51802458.6636831,3.70017561883451
2021-02-28,52520000,3.75142857142857
2021-03-01,53264676.3757248,3.8046197411232
2021-03-02,54010393.5903977,3.85788525645698
2021-03-03,54762480.8044459,3.91160577174614
2021-03-04,55526267.1782971,3.96616194130693
2021-03-05,56307081.8723785,4.0219344194556
2021-03-06,57110254.0471176,4.0793038605084
2021-03-07,57941112.8629418,4.13865091878156
2021-03-08,58804987.4802787,4.20035624859133
2021-03-09,59707207.0595555,4.26480050425397
2021-03-10,60653100.7611998,4.3323643400857
2021-03-11,61647997.745639,4.40342841040278
2021-03-12,62697227.1733005,4.47837336952146
2021-03-13,63806118.2046117,4.55757987175798
2021-03-14,64980000,4.64142857142857
2021-03-15,66257702.6622302,4.73269304730216
2021-03-16,67679465.9890442,4.83424757064602
2021-03-17,69252733.6833351,4.94662383452393
2021-03-18,70984949.4479959,5.07035353199971
2021-03-19,72883556.9859198,5.20596835613713
2021-03-20,74956000,5.354
2021-03-21,77614000,5.54385714285714
2021-03-22,80460000,5.74714285714286
2021-03-23,82846000,5.91757142857143
2021-03-24,85859700,6.13283571428571
2021-03-25,91346000,6.52471428571429
2021-03-26,97470000,6.96214285714286
2021-03-27,102417000,7.3155
2021-03-28,106613000,7.61521428571429
2021-03-29,110962000,7.92585714285714
2021-03-30,114690000,8.19214285714286
2021-03-31,119821000,8.55864285714286
2021-04-01,126616000,9.044
2021-04-02,133801000,9.55721428571429
2021-04-03,136677000,9.76264285714286
2021-04-04,139970000,9.99785714285714
2021-04-05,142802000,10.2001428571429
2021-04-06,145392000,10.3851428571429
2021-04-07,149071000,10.6479285714286
2021-04-08,155150000,11.0821428571429
2021-04-09,161121000,11.5086428571429
2021-04-10,164471000,11.7479285714286
2021-04-11,167343000,11.9530714285714
2021-04-12,171928000,12.2805714285714
2021-04-13,175623000,12.5445
2021-04-14,179216000,12.8011428571429
2021-04-15,183536000,13.1097142857143
2021-04-16,187368000,13.3834285714286
2021-04-17,189809000,13.5577857142857
2021-04-18,192127000,13.7233571428571
2021-04-19,198965000,14.2117857142857
2021-04-20,198965000,14.2117857142857
2021-04-21,204191000,14.5850714285714
2021-04-22,216084000,15.4345714285714
2021-04-23,216084000,15.4345714285714
2021-04-24,220309000,15.7363571428571
2021-04-25,224901000,16.0643571428571
2021-04-26,229489000,16.3920714285714
2021-04-27,235976000,16.8554285714286
2021-04-28,243905000,17.4217857142857
2021-04-29,253463000,18.1045
2021-04-30,265064000,18.9331428571429
2021-05-01,270406000,19.3147142857143
2021-05-02,275338000,19.667
2021-05-03,279905000,19.9932142857143
2021-05-04,284595000,20.3282142857143
