Dates,med,high90,low90,high60,low60,week
2020-06-14,498.2779635544766,929.8906119948264,215.26343200472806,606.3604650314971,392.70130131725625,24
2020-06-21,685.4820270429046,1360.537336570181,265.8210049274392,826.7276632953345,532.5778855887362,25
2020-06-28,935.6887926468708,2099.199182328645,328.2743013903479,1125.0982915407426,712.0126090393182,26
2020-07-05,1225.2159048797605,3036.7985925063085,400.87157965338594,1502.6806080761817,932.754495442293,27
