Fechas,Casos,Defunciones,Casospor100k,Defpor100k,week
2020-03-01,7.0,0.0,0.0320675154968558,0.0,09-2020
2020-03-08,64.0,0.0,0.2931887131141109,0.0,10-2020
2020-03-15,301.0,0.0,1.378903166364804,0.0,11-2020
2020-03-22,498.0,2.0,2.281374673919178,0.0091621472848158,12-2020
2020-03-29,795.0,19.0,3.6419535457143506,0.0870403992057514,13-2020
2020-04-05,1370.0,68.0,6.276070890098944,0.3115130076837428,14-2020
2020-04-12,2424.0,183.0,11.104522509196965,0.8383364765606616,15-2020
2020-04-19,4205.0,356.0,19.26341466632559,1.6308622166972435,16-2020
2020-04-26,5628.0,804.0,25.782282459472157,3.6831832084960223,17-2020
2020-05-03,6937.0,1259.0,31.778907857384215,5.767571715791657,18-2020
2020-05-10,8704.0,1522.0,39.87366498351913,6.972394083744957,19-2020
2020-05-17,9210.0,1827.0,42.19168824657757,8.369621544679394,20-2020
2020-05-24,10031.0,1836.0,45.952749706994524,8.410851207461066,21-2020
2020-05-31,9819.0,1817.0,44.98156209480403,8.323810808255315,22-2020
2020-06-07,10428.0,1708.0,47.771435943030504,7.824473781232844,23-2020
2020-06-14,8909.0,1671.0,40.81278508021276,7.6549740564637485,24-2020
2020-06-21,9022.0,1391.0,41.33044640180487,6.372273436589511,25-2020
2020-06-28,8138.0,1059.0,37.28077730191621,4.8513569873100595,26-2020
2020-07-05,9092.0,1087.0,41.651121556773425,4.979627049297483,27-2020
2020-07-12,8681.0,1010.0,39.76830028974375,4.626884378832068,28-2020
2020-07-19,9592.0,963.0,43.941658377977426,4.411573917638893,29-2020
2020-07-26,9308.0,821.0,42.640633463533554,3.761061460416958,30-2020
2020-08-02,8737.0,765.0,40.02484041371859,3.504521336442111,31-2020
2020-08-09,7759.0,776.0,35.54455039144358,3.554913146508599,32-2020
2020-08-16,8838.0,698.0,40.4875288516018,3.1975894024007756,33-2020
2020-08-23,9545.0,693.0,43.72634791678425,3.1746840341887355,34-2020
2020-08-30,9885.0,639.0,45.283912955202965,2.927306057498704,35-2020
2020-09-06,10032.0,673.0,45.95733078063694,3.0830625613405758,36-2020
2020-09-13,8480.0,628.0,38.847504487619744,2.8769142474322162,37-2020
2020-09-20,9191.0,638.0,42.10464784737182,2.922724983856296,38-2020
2020-09-27,8430.0,628.0,38.61845080549934,2.8769142474322162,39-2020
