Fechas,med,high90,low90,high60,low60,week
2020-05-03,26411.104366278865,56670.70602535014,10895.385527080474,33577.955937772385,21181.89613443196,18-2020
2020-05-10,53082.187899135955,124377.13596950794,19738.44090193567,69393.94660138858,41489.885050804834,19-2020
2020-05-17,106473.06932350845,271535.45541884087,35735.590710603385,143023.01270845186,81144.87969130825,20-2020
2020-05-24,212708.99392634226,586045.5349121501,64621.73617669396,293129.45331628463,158231.93278994266,21-2020
